rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
6668,sample_012714,0.93289436,0.96901107,0.87871931,20,0.97850609;0.96540976;0.96311736,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012714_dinov2_base_adjacent_similarity.csv
6669,sample_012170,0.93288724,0.96970536,0.87766004,20,0.98288977;0.96333301;0.96289331,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012170_dinov2_base_adjacent_similarity.csv
6670,sample_012633,0.93288624,0.95792379,0.89532991,20,0.96241200;0.95758188;0.95377749,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012633_dinov2_base_adjacent_similarity.csv
6671,sample_002701,0.93286756,0.98039102,0.86158235,20,0.98235583;0.98006272;0.97875452,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002701_dinov2_base_adjacent_similarity.csv
6672,sample_003368,0.93286366,0.98399732,0.85616315,20,0.99350214;0.97983378;0.97865605,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003368_dinov2_base_adjacent_similarity.csv
6673,sample_015872,0.93286242,0.96269218,0.88811777,20,0.96808136;0.96170896;0.95828623,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015872_dinov2_base_adjacent_similarity.csv
6674,sample_000572,0.93285232,0.98923423,0.84827944,20,0.99409819;0.99125212;0.98235238,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000572_dinov2_base_adjacent_similarity.csv
6675,sample_006382,0.93284384,0.97091434,0.87573808,20,0.98096621;0.97739857;0.95437825,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006382_dinov2_base_adjacent_similarity.csv
6676,sample_012636,0.93283550,0.96227819,0.88867147,20,0.96708083;0.96160644;0.95814729,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012636_dinov2_base_adjacent_similarity.csv
6677,sample_002795,0.93283360,0.96763235,0.88063548,20,0.97739565;0.96625388;0.95924753,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002795_dinov2_base_adjacent_similarity.csv
6678,sample_003385,0.93283319,0.99070738,0.84602191,20,0.99565375;0.99054486;0.98592353,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003385_dinov2_base_adjacent_similarity.csv
6679,sample_007026,0.93281571,0.99113093,0.84534287,20,0.99201107;0.99136746;0.99001426,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007026_dinov2_base_adjacent_similarity.csv
6680,sample_013202,0.93280555,0.98179674,0.85931876,20,0.98379570;0.98215073;0.97944379,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013202_dinov2_base_adjacent_similarity.csv
6681,sample_015977,0.93280060,0.97790198,0.86514853,20,0.98004860;0.97774011;0.97591722,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015977_dinov2_base_adjacent_similarity.csv
6682,sample_005012,0.93279656,0.98951183,0.84772367,20,0.99055457;0.98917705;0.98880386,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005012_dinov2_base_adjacent_similarity.csv
6683,sample_012741,0.93279635,0.96473201,0.88489285,20,0.97697216;0.95951611;0.95770776,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012741_dinov2_base_adjacent_similarity.csv
6684,sample_012416,0.93279156,0.97102320,0.87544409,20,0.98036027;0.97399795;0.95871139,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012416_dinov2_base_adjacent_similarity.csv
6685,sample_006603,0.93278471,0.96874521,0.87884397,20,0.97099757;0.96850801;0.96673006,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006603_dinov2_base_adjacent_similarity.csv
6686,sample_000392,0.93278117,0.99330984,0.84198817,20,0.99468106;0.99403191;0.99121654,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000392_dinov2_base_adjacent_similarity.csv
6687,sample_002416,0.93278112,0.97199184,0.87396506,20,0.97802907;0.97081554;0.96713090,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002416_dinov2_base_adjacent_similarity.csv
6688,sample_012596,0.93278018,0.96313614,0.88724624,20,0.97348928;0.95889676;0.95702237,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012596_dinov2_base_adjacent_similarity.csv
6689,sample_010523,0.93276920,0.97201123,0.87390616,20,0.97275162;0.97171003;0.97157204,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010523_dinov2_base_adjacent_similarity.csv
6690,sample_008359,0.93276524,0.96108846,0.89028041,20,0.97289240;0.95669353;0.95367944,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008359_dinov2_base_adjacent_similarity.csv
6691,sample_006682,0.93276336,0.97075721,0.87577259,20,0.98165232;0.96855968;0.96205962,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006682_dinov2_base_adjacent_similarity.csv
6692,sample_005409,0.93276244,0.99249772,0.84315952,20,0.99314034;0.99218833;0.99216449,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005409_dinov2_base_adjacent_similarity.csv
6693,sample_012594,0.93276013,0.96374370,0.88628477,20,0.97169274;0.96261489;0.95692348,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012594_dinov2_base_adjacent_similarity.csv
6694,sample_009106,0.93275824,0.97912091,0.86321423,20,0.98717338;0.97947311;0.97071624,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009106_dinov2_base_adjacent_similarity.csv
6695,sample_003531,0.93275815,0.97667444,0.86688371,20,0.99281859;0.97537029;0.96183443,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003531_dinov2_base_adjacent_similarity.csv
6696,sample_005025,0.93275684,0.99370337,0.84133706,20,0.99425101;0.99405611;0.99280298,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005025_dinov2_base_adjacent_similarity.csv
6697,sample_013283,0.93275025,0.96851794,0.87909873,20,0.97552842;0.96984994;0.96017545,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013283_dinov2_base_adjacent_similarity.csv
6698,sample_003392,0.93273061,0.97826743,0.86442537,20,0.98494703;0.97860205;0.97125322,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003392_dinov2_base_adjacent_similarity.csv
6699,sample_005203,0.93272885,0.97927918,0.86290334,20,0.98238337;0.97954381;0.97591037,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005203_dinov2_base_adjacent_similarity.csv
6700,sample_004102,0.93271422,0.97423655,0.87043072,20,0.98288769;0.98159122;0.95823073,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004102_dinov2_base_adjacent_similarity.csv
6701,sample_015981,0.93270370,0.98071396,0.86068831,20,0.98312259;0.98181581;0.97720349,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015981_dinov2_base_adjacent_similarity.csv
6702,sample_013157,0.93270038,0.97272921,0.87265715,20,0.98206973;0.97203797;0.96407992,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013157_dinov2_base_adjacent_similarity.csv
6703,sample_006307,0.93269650,0.96523893,0.88388285,20,0.97084630;0.96729600;0.95757449,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006307_dinov2_base_adjacent_similarity.csv
